,Serial,Constituency,Winner,Party,Won Vote,Registered Voter,Majority,Spoilt Vote,Voter Turnout,Malay (%),Chinese (%),Indian (%),Others (%)
0,P92,Sungai Air Tawar,Rizam Ismail,BN,5437,16274,1440,220,13605,86.11,10.64,2.96,0.29000000000000625
1,P92,Sabak,Ahmad Mustain Othman,PH,6981,24589,130,327,20417,81.02,12.38,6.26,0.3400000000000034
2,P93,Sungai Panjang,Mohd Imran Tamrin,BN,10530,30638,2084,362,26408,83.44,14.45,1.64,0.46999999999999886
3,P93,Sekinchan,Ng Suee Lim,PH,7863,18101,2844,201,15475,43.79,53.02,2.65,0.539999999999992
4,P94,Hulu Bernam,Rosni Sohar,BN,8164,22857,20,323,19243,69.97,15.33,13.57,1.1299999999999955
5,P94,Kuala Kubu Baharu,Lee Kee Hiong,PH,14101,29133,7134,310,24746,43.5,34.46,18.71,3.329999999999984
6,P94,Batang Kali,Harumaini Omar,PH,21536,49000,8315,492,42165,65.96,15.23,15.98,2.8299999999999983
7,P95,Sungai Burong,Mohd Shamsudin Lias,BN,8741,24045,2330,255,20828,85.3,11.64,2.57,0.4900000000000091
8,P95,Permatang,Rozana Zainal Abidin,PH,9208,23153,1158,288,20358,63.62,20.44,15.55,0.39000000000000057
9,P96,Bukit Melawati,Juwairiya Zulkifli,PH,11050,26573,2695,418,23141,62.01,15.21,22.08,0.7000000000000028
10,P96,Ijok,Idris Ahmad,PH,8914,23073,2114,396,20167,60.1,14.15,25.35,0.4000000000000057
11,P96,Jeram,Mohd Shaid Rosli,PH,7087,19751,1191,193,17534,76.25,8.4,14.77,0.5799999999999983
12,P97,Kuang,Sallehudin Amiruddin,PH,9845,26481,2860,187,22858,75.93,12.04,9.68,2.3499999999999943
13,P97,Rawang,Chua Wei Kiat,PH,29946,46125,23860,366,39481,26.98,45.7,25.75,1.5699999999999932
14,P97,Taman Templer,Mohd Sany Hamzan,PH,18362,43570,7903,325,37111,63.4,20.91,14.06,1.6299999999999955
15,P98,Sungai Tua,Amirudin Shari,PH,17446,34180,11374,277,28721,59.92,13.33,24.32,2.430000000000007
16,P98,Gombak Setia,Muhammad Hilman Idham,PH,24157,55461,12399,328,47619,75.83,11.33,9.03,3.8100000000000023
17,P98,Hulu Kelang,Saari Sungib,PH,25746,51471,15349,239,44209,86.32,8.18,3.64,1.8599999999999994
18,P99,Bukit Antarabangsa,Mohamed Azmin Ali,PH,30892,46537,25512,268,39296,45.76,46.37,6.3,1.5700000000000074
